"","Gene","GeneSymbol","Chr","start","end","band","cytoband","isCentromer","Position","new_positions"
"1872","LINC02868","LINC02868","1",116694112,116706603,"p13.1","1p","no",116700357.5,1238
"401","CD2","CD2","1",116754430,116769229,"p13.1","1p","no",116761829.5,1239
"2665","PTGFRN","PTGFRN","1",116909916,116990353,"p13.1","1p","no",116950134.5,1240
"392","CD101","CD101","1",117001750,117036552,"p13.1","1p","no",117019151,1241
"393","CD101-AS1","CD101-AS1","1",117025481,117060845,"p13.1","1p","no",117043163,1242
"3378","TTF2","TTF2","1",117060326,117107453,"p13.1","1p","no",117083889.5,1243
"3340","TRIM45","TRIM45","1",117111060,117122587,"p13.1","1p","no",117116823.5,1244
"3456","VTCN1","VTCN1","1",117143587,117210960,"p12","1p","no",117177273.5,1245
"1664","LINC01525","LINC01525","1",117272182,117321339,"p12","1p","no",117296760.5,1246
"1963","MAN1A2","MAN1A2","1",117367449,117528872,"p12","1p","no",117448160.5,1247
"3200","TENT5C-DT","TENT5C-DT","1",117596830,117606654,"p12","1p","no",117601742,1248
"3199","TENT5C","TENT5C","1",117606048,117628389,"p12","1p","no",117617218.5,1249
"1008","GDAP2","GDAP2","1",117863485,117929621,"p12","1p","no",117896553,1250
"3468","WDR3","WDR3","1",117929720,117966543,"p12","1p","no",117948131.5,1251
"3058","SPAG17","SPAG17","1",117953590,118185228,"p12","1p","no",118069409,1252
"3177","TBX15","TBX15","1",118883046,118989556,"p12","1p","no",118936301,1253
"3460","WARS2","WARS2","1",119031216,119140654,"p12","1p","no",119085935,1254
"3462","WARS2-IT1","WARS2-IT1","1",119047405,119064785,"p12","1p","no",119056095,1255
"3461","WARS2-AS1","WARS2-AS1","1",119140391,119362600,"p12","1p","no",119251495.5,1256
"1746","LINC01780","LINC01780","1",119327399,119356182,"p12","1p","no",119341790.5,1257
"1121","HAO2","HAO2","1",119368779,119394130,"p12","1p","no",119381454.5,1258
"1122","HAO2-IT1","HAO2-IT1","1",119368946,119370331,"p12","1p","no",119369638.5,1259
"1190","HSD3B2","HSD3B2","1",119414931,119423035,"p12","1p","no",119418983,1260
"1189","HSD3B1","HSD3B1","1",119507198,119515054,"p12","1p","no",119511126,1261
"1589","LINC00622","LINC00622","1",119597702,119599271,"p12","1p","no",119598486.5,1262
"3564","ZNF697","ZNF697","1",119619377,119648266,"p12","1p","no",119633821.5,1263
"2455","PHGDH","PHGDH","1",119648411,119744218,"p12","1p","no",119696314.5,1264
"1156","HMGCS2","HMGCS2","1",119748002,119768905,"p12","1p","no",119758453.5,1265
"2744","REG4","REG4","1",119794017,119811580,"p12","1p","no",119802798.5,1266
"33","ADAM30","ADAM30","1",119893533,119896515,"p12","1p","no",119895024,1267
"2205","NOTCH2","NOTCH2","1",119911553,120100779,"p12","1p","no",120006166,1268
"2899","SEC22B","SEC22B","1",120150898,120176520,"p12","1p","no",120163709,1269
"2152","NBPF8","NBPF8","1",120415035,120469676,"p11.2","1p","no",120442355.5,1270
"1590","LINC00623","LINC00623","1",120912108,121014953,"p11.2","1p","no",120963530.5,1271
"2423","PDE4DIPP4","PDE4DIPP4","1",121029592,121042572,"p11.2","1p","no",121036082,1272
"910","FCGR1BP","FCGR1BP","1",121087395,121096152,"p11.2","1p","no",121091773.5,1273
"1105","H2BP1","H2BP1","1",121116862,121117242,"p11.2","1p","no",121117052,1274
"883","FAM72B","FAM72B","1",121167646,121185539,"p11.2","1p","no",121176592.5,1275
"3098","SRGAP2C","SRGAP2C","1",121184811,121392874,"p11.2","1p","no",121288842.5,1276
"3096","SRGAP2-AS1","SRGAP2-AS1","1",121360156,121398806,"p11.2","1p","no",121379481,1277
"1850","LINC02798","LINC02798","1",121396240,121463508,"p11.2","1p","no",121429874,1278
"788","EMBP1","EMBP1","1",121519345,121568791,"p11.2","1p","no",121544068,1279
"1693","LINC01691","LINC01691","1",121573946,121580524,"p11.2","1p","no",121577235,1280
"1851","LINC02799","LINC02799","1",143499187,143500512,"q21.1","1q","no",143499849.5,1
"1810","LINC02591","LINC02591","1",143790009,143797108,"q21.1","1q","no",143793558.5,2
"1111","H3-7","H3-7","1",143894544,143905977,"q21.1","1q","no",143900260.5,3
"884","FAM72C","FAM72C","1",143955287,143971986,"q21.1","1q","no",143963636.5,4
"1270","IGKV1OR1-1","IGKV1OR1-1","1",144085628,144086098,"q21.1","1q","no",144085863,5
"1854","LINC02802","LINC02802","1",144135212,144250375,"q21.1","1q","no",144192793.5,6
"2533","PPIAL4E","PPIAL4E","1",144372875,144373634,"q21.1","1q","no",144373254.5,7
"2142","NBPF15","NBPF15","1",144421390,144461676,"q21.1","1q","no",144441533,8
"1669","LINC01632","LINC01632","1",144627192,144642380,"q21.1","1q","no",144634786,9
"1500","KMT2CP1","KMT2CP1","1",144661200,144679513,"q21.1","1q","no",144670356.5,10
"1938","LSP1P5","LSP1P5","1",144715582,144789172,"q21.1","1q","no",144752377,11
"3097","SRGAP2B","SRGAP2B","1",144887265,145095528,"q21.1","1q","no",144991396.5,12
"885","FAM72D","FAM72D","1",145095974,145112696,"q21.1","1q","no",145104335,13
"1620","LINC01145","LINC01145","1",145214677,145215726,"q21.1","1q","no",145215201.5,14
"2532","PPIAL4D","PPIAL4D","1",145241415,145242174,"q21.1","1q","no",145241794.5,15
"2144","NBPF20","NBPF20","1",145289900,145425603,"q21.1","1q","no",145357751.5,16
"2145","NBPF25P","NBPF25P","1",145573965,145591060,"q21.1","1q","no",145582512.5,17
"1071","GPR89A","GPR89A","1",145607988,145670650,"q21.1","1q","no",145639319,18
"2427","PDZK1","PDZK1","1",145670852,145708148,"q21.1","1q","no",145689500,19
"394","CD160","CD160","1",145719471,145739288,"q21.1","1q","no",145729379.5,20
"2796","RNF115","RNF115","1",145738868,145824095,"q21.1","1q","no",145781481.5,21
"2520","POLR3C","POLR3C","1",145824053,145844402,"q21.1","1q","no",145834227.5,22
"2239","NUDT17","NUDT17","1",145845630,145848954,"q21.1","1q","no",145847292,23
"2459","PIAS3","PIAS3","1",145848522,145859836,"q21.1","1q","no",145854179,24
"120","ANKRD35","ANKRD35","1",145866560,145885866,"q21.1","1q","no",145876213,25
"1412","ITGA10","ITGA10","1",145891208,145910111,"q21.1","1q","no",145900659.5,26
"2437","PEX11B","PEX11B","1",145911350,145918717,"q21.1","1q","no",145915033.5,27
"2722","RBM8A","RBM8A","1",145921556,145927678,"q21.1","1q","no",145924617,28
"1891","LIX1L-AS1","LIX1L-AS1","1",145926590,145959179,"q21.1","1q","no",145942884.5,29
"1890","LIX1L","LIX1L","1",145933423,145958017,"q21.1","1q","no",145945720,30
"119","ANKRD34A","ANKRD34A","1",145959441,145964575,"q21.1","1q","no",145962008,31
"2521","POLR3GL","POLR3GL","1",145964690,145978848,"q21.1","1q","no",145971769,32
"3389","TXNIP","TXNIP","1",145992435,145996579,"q21.1","1q","no",145994507,33
"1148","HJV","HJV","1",146017468,146036746,"q21.1","1q","no",146027107,34
"1709","LINC01719","LINC01719","1",146052566,146061952,"q21.1","1q","no",146057259,35
"2138","NBPF10","NBPF10","1",146064711,146229000,"q21.1","1q","no",146146855.5,36
"2206","NOTCH2NLA","NOTCH2NLA","1",146146203,146229041,"q21.1","1q","no",146187622,37
"2537","PPIAL4H","PPIAL4H","1",146344006,146344765,"q21.1","1q","no",146344385.5,38
"2140","NBPF12","NBPF12","1",146938324,146996202,"q21.1","1q","no",146967263,39
"2624","PRKAB2","PRKAB2","1",147155106,147172550,"q21.1","1q","no",147163828,40
"949","FMO5","FMO5","1",147175351,147243050,"q21.1","1q","no",147209200.5,41
"477","CHD1L","CHD1L","1",147242654,147295765,"q21.1","1q","no",147269209.5,42
"1591","LINC00624","LINC00624","1",147258885,147517879,"q21.2","1q","no",147388382,43
"245","BCL9","BCL9","1",147541501,147626216,"q21.2","1q","no",147583858.5,44
"21","ACP6","ACP6","1",147629652,147670524,"q21.2","1q","no",147650088,45
"1018","GJA5","GJA5","1",147756199,147773362,"q21.2","1q","no",147764780.5,46
"1019","GJA8","GJA8","1",147902795,147909269,"q21.2","1q","no",147906032,47
"1072","GPR89B","GPR89B","1",147928393,147993592,"q21.2","1q","no",147960992.5,48
"2139","NBPF11","NBPF11","1",148102047,148152322,"q21.2","1q","no",148127184.5,49
"1856","LINC02805","LINC02805","1",148156139,148186980,"q21.2","1q","no",148171559.5,50
"1613","LINC01138","LINC01138","1",148254495,148529415,"q21.2","1q","no",148391955,51
"1857","LINC02806","LINC02806","1",148279161,148347802,"q21.2","1q","no",148313481.5,52
"2536","PPIAL4G","PPIAL4G","1",148482548,148483302,"q21.2","1q","no",148482925,53
"2141","NBPF14","NBPF14","1",148531385,148679742,"q21.2","1q","no",148605563.5,54
"2207","NOTCH2NLB","NOTCH2NLB","1",148600285,148679746,"q21.2","1q","no",148640015.5,55
"2240","NUDT4B","NUDT4B","1",148748774,148752415,"q21.2","1q","no",148750594.5,56
"2422","PDE4DIP","PDE4DIP","1",148808140,149048286,"q21.2","1q","no",148928213,57
"2153","NBPF9","NBPF9","1",149052186,149103561,"q21.2","1q","no",149077873.5,58
"2208","NOTCH2NLC","NOTCH2NLC","1",149390621,149471833,"q21.2","1q","no",149431227,59
"2143","NBPF19","NBPF19","1",149475045,149556361,"q21.2","1q","no",149515703,60
"2531","PPIAL4C","PPIAL4C","1",149583848,149584607,"q21.2","1q","no",149584227.5,61
"1596","LINC00869","LINC00869","1",149655731,149669321,"q21.2","1q","no",149662526,62
"909","FCGR1A","FCGR1A","1",149782671,149791675,"q21.2","1q","no",149787173,63
"1101","H2BC18","H2BC18","1",149782689,149812373,"q21.2","1q","no",149797531,64
"1112","H3C13","H3C13","1",149813225,149813693,"q21.2","1q","no",149813459,65
"1115","H4C14","H4C14","1",149832657,149839767,"q21.2","1q","no",149836212,66
"1113","H3C14","H3C14","1",149840687,149841208,"q21.2","1q","no",149840947.5,67
"1095","H2AC18","H2AC18","1",149842218,149842750,"q21.2","1q","no",149842484,68
"1096","H2AC19","H2AC19","1",149851061,149851594,"q21.2","1q","no",149851327.5,69
"1114","H3C15","H3C15","1",149852608,149853125,"q21.2","1q","no",149852866.5,70
"1116","H4C15","H4C15","1",149854045,149861159,"q21.2","1q","no",149857602,71
"1102","H2BC21","H2BC21","1",149884459,149886682,"q21.2","1q","no",149885570.5,72
"1097","H2AC20","H2AC20","1",149886918,149887411,"q21.2","1q","no",149887164.5,73
"1098","H2AC21","H2AC21","1",149887469,149887965,"q21.2","1q","no",149887717,74
"261","BOLA1","BOLA1","1",149887890,149900798,"q21.2","1q","no",149894344,75
"3139","SV2A","SV2A","1",149903318,149917844,"q21.2","1q","no",149910581,76
"2924","SF3B4","SF3B4","1",149923317,149927803,"q21.2","1q","no",149925560,77
"2099","MTMR11","MTMR11","1",149928651,149936879,"q21.2","1q","no",149932765,78
"2366","OTUD7B","OTUD7B","1",149937812,150010726,"q21.2","1q","no",149974269,79
"3450","VPS45","VPS45","1",150067279,150145329,"q21.2","1q","no",150106304,80
"2499","PLEKHO1","PLEKHO1","1",150149183,150164720,"q21.2","1q","no",150156951.5,81
"1884","LINC02988","LINC02988","1",150160726,150182935,"q21.2","1q","no",150171830.5,82
"132","ANP32E","ANP32E","1",150218417,150236156,"q21.2","1q","no",150227286.5,83
"333","CA14","CA14","1",150257251,150265078,"q21.2","1q","no",150261164.5,84
"139","APH1A","APH1A","1",150265399,150269580,"q21.2","1q","no",150267489.5,85
"306","C1orf54","C1orf54","1",150268200,150280916,"q21.2","1q","no",150274558,86
"494","CIART","CIART","1",150282543,150287093,"q21.2","1q","no",150284818,87
"2080","MRPS21","MRPS21","1",150293861,150308979,"q21.2","1q","no",150301420,88
"2641","PRPF3","PRPF3","1",150321479,150353233,"q21.2","1q","no",150337356,89
"2826","RPRD2","RPRD2","1",150363091,150476566,"q21.2","1q","no",150419828.5,90
"3171","TARS2","TARS2","1",150487414,150507602,"q21.2","1q","no",150497508,91
"746","ECM1","ECM1","1",150508062,150513789,"q21.2","1q","no",150510925.5,92
"864","FALEC","FALEC","1",150515667,150537267,"q21.2","1q","no",150526467,93
"37","ADAMTSL4-AS2","ADAMTSL4-AS2","1",150548562,150557724,"q21.2","1q","no",150553143,94
"35","ADAMTSL4","ADAMTSL4","1",150549369,150560937,"q21.2","1q","no",150555153,95
"36","ADAMTSL4-AS1","ADAMTSL4-AS1","1",150560202,150562115,"q21.2","1q","no",150561158.5,96
"1987","MCL1","MCL1","1",150560895,150579738,"q21.2","1q","no",150570316.5,97
"801","ENSA","ENSA","1",150600851,150629612,"q21.3","1q","no",150615231.5,98
"1045","GOLPH3L","GOLPH3L","1",150646230,150697154,"q21.3","1q","no",150671692,99
"1176","HORMAD1","HORMAD1","1",150698060,150720895,"q21.3","1q","no",150709477.5,100
"600","CTSS","CTSS","1",150730079,150765957,"q21.3","1q","no",150748018,101
"599","CTSK","CTSK","1",150794880,150809577,"q21.3","1q","no",150802228.5,102
"168","ARNT","ARNT","1",150809713,150876708,"q21.3","1q","no",150843210.5,103
"602","CTXND2","CTXND2","1",150887136,150913292,"q21.3","1q","no",150900214,104
"2921","SETDB1","SETDB1","1",150926263,150964744,"q21.3","1q","no",150945503.5,105
"456","CERS2","CERS2","1",150960583,150975003,"q21.3","1q","no",150967793,106
"135","ANXA9","ANXA9","1",150982249,150995634,"q21.3","1q","no",150988941.5,107
"2025","MINDY1","MINDY1","1",150996549,151008376,"q21.3","1q","no",151002462.5,108
"2649","PRUNE1","PRUNE1","1",151008420,151035713,"q21.3","1q","no",151022066.5,109
"260","BNIPL","BNIPL","1",151036321,151047720,"q21.3","1q","no",151042020.5,110
"307","C1orf56","C1orf56","1",151047751,151051986,"q21.3","1q","no",151049868.5,111
"426","CDC42SE1","CDC42SE1","1",151050971,151070325,"q21.3","1q","no",151060648,112
"2043","MLLT11","MLLT11","1",151060397,151069544,"q21.3","1q","no",151064970.5,113
"979","GABPB2","GABPB2","1",151070578,151125542,"q21.3","1q","no",151098060,114
"2910","SEMA6C","SEMA6C","1",151131685,151146631,"q21.3","1q","no",151139158,115
"3288","TNFAIP8L2","TNFAIP8L2","1",151156649,151159749,"q21.3","1q","no",151158199,116
"2886","SCNM1","SCNM1","1",151156664,151170296,"q21.3","1q","no",151163480,117
"1950","LYSMD1","LYSMD1","1",151159748,151165948,"q21.3","1q","no",151162848,118
"3286","TMOD4","TMOD4","1",151169986,151176284,"q21.3","1q","no",151173135,119
"3452","VPS72","VPS72","1",151176304,151195321,"q21.3","1q","no",151185812.5,120
"2473","PIP5K1A","PIP5K1A","1",151197949,151249536,"q21.3","1q","no",151223742.5,121
"2656","PSMD4","PSMD4","1",151254709,151267479,"q21.3","1q","no",151261094,122
"3558","ZNF687-AS1","ZNF687-AS1","1",151273345,151282013,"q21.3","1q","no",151277679,123
"3557","ZNF687","ZNF687","1",151281618,151292176,"q21.3","1q","no",151286897,124
"2458","PI4KB","PI4KB","1",151291797,151327715,"q21.3","1q","no",151309756,125
"2755","RFX5-AS1","RFX5-AS1","1",151327811,151348027,"q21.3","1q","no",151337919,126
"2754","RFX5","RFX5","1",151340640,151347326,"q21.3","1q","no",151343983,127
"2901","SELENBP1","SELENBP1","1",151364304,151372707,"q21.3","1q","no",151368505.5,128
"2655","PSMB4","PSMB4","1",151399560,151401937,"q21.3","1q","no",151400748.5,129
"2517","POGZ","POGZ","1",151402724,151459494,"q21.3","1q","no",151431109,130
"474","CGN","CGN","1",151510510,151538692,"q21.3","1q","no",151524601,131
"3383","TUFT1","TUFT1","1",151540305,151583583,"q21.3","1q","no",151561944,132
"3049","SNX27","SNX27","1",151612006,151699091,"q21.3","1q","no",151655548.5,133
"442","CELF3","CELF3","1",151700058,151716803,"q21.3","1q","no",151708430.5,134
"2782","RIIAD1","RIIAD1","1",151710433,151729805,"q21.3","1q","no",151720119,135
"2077","MRPL9","MRPL9","1",151759647,151763496,"q21.3","1q","no",151761571.5,136
"2246","OAZ3","OAZ3","1",151762899,151771334,"q21.3","1q","no",151767116.5,137
"3193","TDRKH","TDRKH","1",151770107,151791416,"q21.3","1q","no",151780761.5,138
"3194","TDRKH-AS1","TDRKH-AS1","1",151790709,151794403,"q21.3","1q","no",151792556,139
"1888","LINGO4","LINGO4","1",151800264,151805419,"q21.3","1q","no",151802841.5,140
"2817","RORC","RORC","1",151806071,151831845,"q21.3","1q","no",151818958,141
"315","C2CD4D","C2CD4D","1",151837818,151840557,"q21.3","1q","no",151839187.5,142
"316","C2CD4D-AS1","C2CD4D-AS1","1",151841877,151851549,"q21.3","1q","no",151846713,143
"3224","THEM5","THEM5","1",151847101,151853712,"q21.3","1q","no",151850406.5,144
"3223","THEM4","THEM4","1",151870866,151909637,"q21.3","1q","no",151890251.5,145
"2858","S100A10","S100A10","1",151982915,151993859,"q21.3","1q","no",151988387,146
"2859","S100A11","S100A11","1",152032506,152047907,"q21.3","1q","no",152040206.5,147
"3188","TCHHL1","TCHHL1","1",152084141,152089064,"q21.3","1q","no",152086602.5,148
"3187","TCHH","TCHH","1",152106317,152115444,"q21.3","1q","no",152110880.5,149
"2834","RPTN","RPTN","1",152153595,152159228,"q21.3","1q","no",152156411.5,150
"385","CCDST","CCDST","1",152165553,152445456,"q21.3","1q","no",152305504.5,151
"1182","HRNR","HRNR","1",152212076,152224193,"q21.3","1q","no",152218134.5,152
"940","FLG","FLG","1",152302165,152325239,"q21.3","1q","no",152313702,153
"941","FLG2","FLG2","1",152348735,152360006,"q21.3","1q","no",152354370.5,154
"575","CRNN","CRNN","1",152409243,152414263,"q21.3","1q","no",152411753,155
"1543","LCE5A","LCE5A","1",152510803,152512177,"q21.3","1q","no",152511490,156
"567","CRCT1","CRCT1","1",152514482,152516008,"q21.3","1q","no",152515245,157
"1541","LCE3E","LCE3E","1",152565654,152566780,"q21.3","1q","no",152566217,158
"1540","LCE3D","LCE3D","1",152579381,152580516,"q21.3","1q","no",152579948.5,159
"1539","LCE3C","LCE3C","1",152600234,152601086,"q21.3","1q","no",152600660,160
"1538","LCE3B","LCE3B","1",152613811,152614098,"q21.3","1q","no",152613954.5,161
"1537","LCE3A","LCE3A","1",152622834,152623103,"q21.3","1q","no",152622968.5,162
"1536","LCE2D","LCE2D","1",152663380,152664659,"q21.3","1q","no",152664019.5,163
"1535","LCE2C","LCE2C","1",152675279,152676569,"q21.3","1q","no",152675924,164
"1534","LCE2B","LCE2B","1",152686123,152687397,"q21.3","1q","no",152686760,165
"1533","LCE2A","LCE2A","1",152698345,152699442,"q21.3","1q","no",152698893.5,166
"1542","LCE4A","LCE4A","1",152708160,152709434,"q21.3","1q","no",152708797,167
"1503","KPRP","KPRP","1",152758025,152762056,"q21.3","1q","no",152760040.5,168
"1532","LCE1F","LCE1F","1",152775140,152777024,"q21.3","1q","no",152776082,169
"1531","LCE1E","LCE1E","1",152786214,152788426,"q21.3","1q","no",152787320,170
"1530","LCE1D","LCE1D","1",152796721,152798181,"q21.3","1q","no",152797451,171
"1529","LCE1C","LCE1C","1",152804832,152806651,"q21.3","1q","no",152805741.5,172
"1528","LCE1B","LCE1B","1",152811971,152813108,"q21.3","1q","no",152812539.5,173
"1527","LCE1A","LCE1A","1",152827473,152828097,"q21.3","1q","no",152827785,174
"1544","LCE6A","LCE6A","1",152842856,152843983,"q21.3","1q","no",152843419.5,175
"1545","LCE7A","LCE7A","1",152859996,152861252,"q21.3","1q","no",152860624,176
"3018","SMCP","SMCP","1",152878322,152885047,"q21.3","1q","no",152881684.5,177
"1422","IVL","IVL","1",152908546,152911886,"q21.3","1q","no",152910216,178
"1665","LINC01527","LINC01527","1",152930040,152949210,"q21.3","1q","no",152939625,179
"3085","SPRR5","SPRR5","1",152947206,152949255,"q21.3","1q","no",152948230.5,180
"3084","SPRR4","SPRR4","1",152970648,152972574,"q21.3","1q","no",152971611,181
"3075","SPRR1A","SPRR1A","1",152984081,152985814,"q21.3","1q","no",152984947.5,182
"3083","SPRR3","SPRR3","1",153001747,153003856,"q21.3","1q","no",153002801.5,183
"3076","SPRR1B","SPRR1B","1",153031203,153032900,"q21.3","1q","no",153032051.5,184
"3079","SPRR2D","SPRR2D","1",153039732,153041931,"q21.3","1q","no",153040831.5,185
"3077","SPRR2A","SPRR2A","1",153056120,153057512,"q21.3","1q","no",153056816,186
"3078","SPRR2B","SPRR2B","1",153070226,153071611,"q21.3","1q","no",153070918.5,187
"3080","SPRR2E","SPRR2E","1",153093135,153106184,"q21.3","1q","no",153099659.5,188
"3081","SPRR2F","SPRR2F","1",153112121,153113516,"q21.3","1q","no",153112818.5,189
"3082","SPRR2G","SPRR2G","1",153149582,153150890,"q21.3","1q","no",153150236,190
"1554","LELP1","LELP1","1",153203430,153205120,"q21.3","1q","no",153204275,191
"2645","PRR9","PRR9","1",153217584,153219310,"q21.3","1q","no",153218447,192
"1902","LORICRIN","LORICRIN","1",153259687,153262124,"q21.3","1q","no",153260905.5,193
"2448","PGLYRP3","PGLYRP3","1",153297116,153312952,"q21.3","1q","no",153305034,194
"2449","PGLYRP4","PGLYRP4","1",153330120,153348841,"q21.3","1q","no",153339480.5,195
"2872","S100A9","S100A9","1",153357854,153361023,"q21.3","1q","no",153359438.5,196
"2860","S100A12","S100A12","1",153373711,153375621,"q21.3","1q","no",153374666,197
"2871","S100A8","S100A8","1",153390032,153391073,"q21.3","1q","no",153390552.5,198
"2870","S100A7A","S100A7A","1",153416520,153423222,"q21.3","1q","no",153419871,199
"2869","S100A7","S100A7","1",153457744,153460651,"q21.3","1q","no",153459197.5,200
"2868","S100A6","S100A6","1",153534599,153536244,"q21.3","1q","no",153535421.5,201
"2867","S100A5","S100A5","1",153537147,153541765,"q21.3","1q","no",153539456,202
"2866","S100A4","S100A4","1",153543613,153550136,"q21.3","1q","no",153546874.5,203
"2865","S100A3","S100A3","1",153547329,153549258,"q21.3","1q","no",153548293.5,204
"2864","S100A2","S100A2","1",153561108,153567890,"q21.3","1q","no",153564499,205
"2863","S100A16","S100A16","1",153606886,153613145,"q21.3","1q","no",153610015.5,206
"2862","S100A14","S100A14","1",153614255,153616986,"q21.3","1q","no",153615620.5,207
"2861","S100A13","S100A13","1",153618779,153634412,"q21.3","1q","no",153626595.5,208
"2857","S100A1","S100A1","1",153627926,153632039,"q21.3","1q","no",153629982.5,209
"492","CHTOP","CHTOP","1",153633982,153646306,"q21.3","1q","no",153640144,210
"3034","SNAPIN","SNAPIN","1",153658703,153661852,"q21.3","1q","no",153660277.5,211
"1387","ILF2","ILF2","1",153661788,153671028,"q21.3","1q","no",153666408,212
"2217","NPR1","NPR1","1",153678688,153693992,"q21.3","1q","no",153686340,213
"654","DENND4B","DENND4B","1",153929501,153946718,"q21.3","1q","no",153938109.5,214
"581","CRTC2","CRTC2","1",153947669,153958615,"q21.3","1q","no",153953142,215
"2992","SLC39A1","SLC39A1","1",153959099,153968184,"q21.3","1q","no",153963641.5,216
"568","CREB3L4","CREB3L4","1",153967534,153974361,"q21.3","1q","no",153970947.5,217
"1426","JTB","JTB","1",153974269,153977674,"q21.3","1q","no",153975971.5,218
"1427","JTB-DT","JTB-DT","1",153977683,153979160,"q21.3","1q","no",153978421.5,219
"2689","RAB13","RAB13","1",153981617,153986358,"q21.3","1q","no",153983987.5,220
"2827","RPS27","RPS27","1",153990762,153992155,"q21.3","1q","no",153991458.5,221
"2244","NUP210L","NUP210L","1",153992690,154155116,"q21.3","1q","no",154073903,222
"3319","TPM3","TPM3","1",154155308,154194648,"q21.3","1q","no",154174978,223
"459","CFAP141","CFAP141","1",154199085,154206333,"q21.3","1q","no",154202709,224
"302","C1orf43","C1orf43","1",154206696,154220637,"q21.3","1q","no",154213666.5,225
"3393","UBAP2L","UBAP2L","1",154220179,154271510,"q21.3","1q","no",154245844.5,226
"1125","HAX1","HAX1","1",154272355,154275875,"q21.3","1q","no",154274115,227
"146","AQP10","AQP10","1",154321090,154325325,"q21.3","1q","no",154323207.5,228
"213","ATP8B2","ATP8B2","1",154325525,154351304,"q21.3","1q","no",154338414.5,229
"1385","IL6R-AS1","IL6R-AS1","1",154402328,154406564,"q21.3","1q","no",154404446,230
"1384","IL6R","IL6R","1",154405193,154469450,"q21.3","1q","no",154437321.5,231
"2943","SHE","SHE","1",154469772,154502412,"q21.3","1q","no",154486092,232
"3189","TDRD10","TDRD10","1",154502219,154548147,"q21.3","1q","no",154525183,233
"3395","UBE2Q1","UBE2Q1","1",154548577,154559028,"q21.3","1q","no",154553802.5,234
"3396","UBE2Q1-AS1","UBE2Q1-AS1","1",154553609,154555017,"q21.3","1q","no",154554313,235
"490","CHRNB2","CHRNB2","1",154567778,154580013,"q21.3","1q","no",154573895.5,236
"38","ADAR","ADAR","1",154581695,154628013,"q21.3","1q","no",154604854,237
"1454","KCNN3","KCNN3","1",154697455,154870281,"q21.3","1q","no",154783868,238
"2511","PMVK","PMVK","1",154924740,154936719,"q21.3","1q","no",154930729.5,239
"2406","PBXIP1","PBXIP1","1",154944076,154956123,"q21.3","1q","no",154950099.5,240
"2683","PYGO2","PYGO2","1",154957026,154963853,"q21.3","1q","no",154960439.5,241
"2941","SHC1","SHC1","1",154962298,154974395,"q21.3","1q","no",154968346.5,242
"497","CKS1B","CKS1B","1",154974653,154979251,"q21.3","1q","no",154976952,243
"939","FLAD1","FLAD1","1",154983338,154993111,"q21.3","1q","no",154988224.5,244
"1558","LENEP","LENEP","1",154993586,154994315,"q21.3","1q","no",154993950.5,245
"3510","ZBTB7B","ZBTB7B","1",155002630,155018523,"q21.3","1q","no",155010576.5,246
"637","DCST2","DCST2","1",155018520,155033781,"q21.3","1q","no",155026150.5,247
"635","DCST1","DCST1","1",155033824,155050930,"q21.3","1q","no",155042377,248
"636","DCST1-AS1","DCST1-AS1","1",155045191,155051172,"q21.3","1q","no",155048181.5,249
"31","ADAM15","ADAM15","1",155050566,155062775,"q21.3","1q","no",155056670.5,250
"760","EFNA4","EFNA4","1",155063737,155069553,"q21.3","1q","no",155066645,251
"759","EFNA3","EFNA3","1",155078837,155087538,"q21.3","1q","no",155083187.5,252
"758","EFNA1","EFNA1","1",155127876,155134899,"q22","1q","no",155131387.5,253
"3001","SLC50A1","SLC50A1","1",155135344,155138857,"q22","1q","no",155137100.5,254
"709","DPM3","DPM3","1",155139891,155140595,"q22","1q","no",155140243,255
"1505","KRTCAP2","KRTCAP2","1",155169408,155173475,"q22","1q","no",155171441.5,256
"3341","TRIM46","TRIM46","1",155173787,155184971,"q22","1q","no",155179379,257
"2104","MUC1","MUC1","1",155185824,155192916,"q22","1q","no",155189370,258
"3222","THBS3-AS1","THBS3-AS1","1",155194806,155207322,"q22","1q","no",155201064,259
"3221","THBS3","THBS3","1",155195588,155209051,"q22","1q","no",155202319.5,260
"2103","MTX1","MTX1","1",155208695,155213824,"q22","1q","no",155211259.5,261
"927","FDPS","FDPS","1",155308748,155320666,"q22","1q","no",155314707,262
"2851","RUSC1-AS1","RUSC1-AS1","1",155316856,155324385,"q22","1q","no",155320620.5,263
"2850","RUSC1","RUSC1","1",155320894,155331114,"q22","1q","no",155326004,264
"178","ASH1L","ASH1L","1",155335268,155563162,"q22","1q","no",155449215,265
"180","ASH1L-IT1","ASH1L-IT1","1",155396010,155396978,"q22","1q","no",155396494,266
"179","ASH1L-AS1","ASH1L-AS1","1",155562026,155570755,"q22","1q","no",155566390.5,267
"2088","MSTO1","MSTO1","1",155563235,155614951,"q22","1q","no",155589093,268
"3499","YY1AP1","YY1AP1","1",155659446,155689334,"q22","1q","no",155674390,269
"626","DAP3","DAP3","1",155687960,155739010,"q22","1q","no",155713485,270
"1047","GON4L","GON4L","1",155749659,155859400,"q22","1q","no",155804529.5,271
"3147","SYT11","SYT11","1",155859567,155885199,"q22","1q","no",155872383,272
"2785","RIT1","RIT1","1",155897808,155911404,"q22","1q","no",155904606,273
