"","hgnc_symbol","chromosome_name","start_position","end_position"
"CCDC112","CCDC112","5",115267190,115296693
"ARHGAP36","ARHGAP36","X",131058346,131089885
"FAM229B","FAM229B","6",112087591,112102790
"PTGDS","PTGDS","9",136975092,136981742
"NOX4","NOX4","11",89324353,89498187
"STX1B","STX1B","16",30989256,31010638
"LCNL1","LCNL1","9",136981904,136986410
"FUT11","FUT11","10",73772276,73780251
"FAM184A","FAM184A","6",118959763,119149387
"CHCHD1","CHCHD1","10",73782047,73783652
"PAXX","PAXX","9",136992422,136993984
"HYAL2","HYAL2","3",50317790,50322782
"ZSWIM8","ZSWIM8","10",73785606,73801797
"ZNF257","ZNF257","19",22052430,22091480
"CLIC3","CLIC3","9",136994608,136996568
"SLCO6A1","SLCO6A1","5",102371774,102499016
"NXF2","NXF2","X",102247167,102326722
"LINC02908","LINC02908","9",137027464,137037957
"ZNF729","ZNF729","19",22286441,22317176
"STX4","STX4","16",31032889,31042975
"SLC3A1","SLC3A1","2",44275458,44321494
"PARAL1","PARAL1","20",9986088,10007116
"FUT7","FUT7","9",137030174,137032088
"ANKEF1","ANKEF1","20",9986126,10058303
"SAT2","SAT2","17",7626234,7627876
"NPDC1","NPDC1","9",137039463,137046179
"KLHL26","KLHL26","19",18637025,18671721
"TMSB15A","TMSB15A","X",102513682,102516739
"SPATA12","SPATA12","3",57060664,57075432
"BMX","BMX","X",15464246,15556529
"ABHD5","ABHD5","3",43690108,43734371
"ENTPD2","ENTPD2","9",137048107,137054061
"OCSTAMP","OCSTAMP","20",46540946,46550654
"ATP1B2","ATP1B2","17",7646627,7657770
"TMEM161A","TMEM161A","19",19119169,19138513
"SLC13A3","SLC13A3","20",46557823,46684467
"EFNB3","EFNB3","17",7705202,7711372
"FCHSD1","FCHSD1","5",141639302,141651418
"SAPCD2","SAPCD2","9",137062127,137070557
"DAPP1","DAPP1","4",99816827,99870190
"OR1D5","OR1D5","17",3062669,3063607
"OR1P1","OR1P1","17",3153889,3154882
"UAP1L1","UAP1L1","9",137077517,137084539
"TMEM97","TMEM97","17",28319200,28328685
"SFMBT1","SFMBT1","3",52903572,53046750
"MAN1B1-DT","MAN1B1-DT","9",137084946,137086817
"TMEM210","TMEM210","9",137170858,137172056
"PCDH10","PCDH10","4",133149294,133208606
"TNFAIP1","TNFAIP1","17",28335602,28347009
"MYO5B","MYO5B","18",49822789,50195164
"INE2","INE2","X",15785716,15787589
"ANAPC2","ANAPC2","9",137174784,137188560
"AP1S2","AP1S2","X",15825806,15854931
"AP1B1","AP1B1","22",29327680,29388583
"THAP9-AS1","THAP9-AS1","4",82893009,82900960
"ZSWIM8-AS1","ZSWIM8-AS1","10",73796514,73801399
"PPIC","PPIC","5",123023250,123036725
"NDST2","NDST2","10",73801911,73811798
"TTC33","TTC33","5",40512333,40755963
"SSNA1","SSNA1","9",137188660,137190370
"CSNKA2IP","CSNKA2IP","3",88338416,88467594
"TPRN","TPRN","9",137191617,137204193
"ZNF668","ZNF668","16",31060843,31074240
"CAMK2G-AS1","CAMK2G-AS1","10",73813518,73814737
"POLDIP2","POLDIP2","17",28346633,28357527
"C10orf71","C10orf71","10",49299170,49327492
"TIMM23","TIMM23","10",45972489,46003742
"BTNL9","BTNL9","5",181040225,181061521
"VGLL3","VGLL3","3",86876388,86991149
"TMEM203","TMEM203","9",137204082,137205648
"GCNT7","GCNT7","20",56491492,56525925
"RNF224","RNF224","9",137227502,137229640
"HRH3","HRH3","20",62214960,62220278
"ANXA4","ANXA4","2",69644425,69827112
"SLC34A3","SLC34A3","9",137230757,137236555
"MSMB","MSMB","10",46033307,46048180
"RNF150","RNF150","4",140859807,141212877
"MRPL40","MRPL40","22",19432545,19436075
"LINC00200","LINC00200","10",1159768,1289426
"APEX2","APEX2","X",55000363,55009057
"GBE1","GBE1","3",81489703,81761645
"TMEM199","TMEM199","17",28357642,28363683
"ZNF646","ZNF646","16",31074422,31084196
"RALGAPA2","RALGAPA2","20",20389530,20712644
"PRODH","PRODH","22",18912777,18936553
"VPS26A","VPS26A","10",69123512,69174412
"TUBB4B","TUBB4B","9",137241287,137243707
"PPARGC1B","PPARGC1B","5",149730298,149855022
"VKORC1","VKORC1","16",31090842,31095980
"VTA1","VTA1","6",142147162,142224685
"ARMC6","ARMC6","19",19033575,19060311
"ALAS2","ALAS2","X",55009055,55030977
"LINC02429","LINC02429","4",58984215,59046959
"DOCK3","DOCK3","3",50674927,51384198
"VTN","VTN","17",28367284,28373091
"NELFB","NELFB","9",137255327,137273542
"ZNF330","ZNF330","4",141220887,141234697
"SUPV3L1","SUPV3L1","10",69180234,69209099
"NT5DC1","NT5DC1","6",116100851,116249497
"TOR4A","TOR4A","9",137277726,137282641
"BCKDK","BCKDK","16",31106107,31112791
"NRARP","NRARP","9",137299631,137302271
"TEK","TEK","9",27109141,27230174
"CEP76","CEP76","18",12661833,12702777
"ERGIC3","ERGIC3","20",35542038,35557634
"ADGRF1","ADGRF1","6",46997708,47042350
"HKDC1","HKDC1","10",69220332,69267552
"MYO1C","MYO1C","17",1464186,1492686
"PAGE2B","PAGE2B","X",55075030,55078909
"RBM46","RBM46","4",154781213,154828813
"WDPCP","WDPCP","2",63119559,63827843
"PAGE2","PAGE2","X",55089018,55092842
"TSPAN15","TSPAN15","10",69451465,69507666
"FRMD4B","FRMD4B","3",69168782,69542583
"SLC12A2","SLC12A2","5",128083766,128189677
"NR3C2","NR3C2","4",148078762,148444698
"PSMG2","PSMG2","18",12658043,12728945
"FLNA","FLNA","X",154348524,154374634
"ZNF462","ZNF462","9",106863166,107013634
"TRMT11","TRMT11","6",125986479,126203817
"FAM241B","FAM241B","10",69630247,69633596
"AGBL3","AGBL3","7",134986508,135147963
"IGLVIVOR22-1","IGLVIVOR22-1","22",25437306,25437823
"LINC02673","LINC02673","10",27343436,27344917
"APOBEC3D","APOBEC3D","22",39021113,39033277
"PTCHD3","PTCHD3","10",27397121,27414368
"RAB5IF","RAB5IF","20",36605779,36612557
"ACBD5","ACBD5","10",27168135,27243046
"KAT8","KAT8","16",31114489,31131393
"PEX26","PEX26","22",18077923,18105396
"ZNF430","ZNF430","19",21020634,21060050
"TMEM144","TMEM144","4",158201604,158255416
"KCNK17","KCNK17","6",39299001,39314461
"COX7A2L","COX7A2L","2",42333546,42425088
"ACTL7B","ACTL7B","9",108854588,108855986
"ACTL7A","ACTL7A","9",108862266,108863756
"RHOD","RHOD","11",67056847,67072017
"CAV2","CAV2","7",116287380,116508541
"CADPS","CADPS","3",62398346,62875416
"UBE2V1","UBE2V1","20",50081124,50115959
"ZNF676","ZNF676","19",22179089,22215801
"SCARNA9","SCARNA9","11",93721513,93721865
"ZNF91","ZNF91","19",23304991,23395471
"ELP1","ELP1","9",108866898,108934328
"SEH1L","SEH1L","18",12947133,12987536
"PPP4R3B","PPP4R3B","2",55547292,55618880
"SERPIND1","SERPIND1","22",20774113,20787720
"MED17","MED17","11",93784227,93814963
"CYP4F3","CYP4F3","19",15640897,15662825
"SNAP29","SNAP29","22",20859007,20891214
"HBS1L","HBS1L","6",134960378,135103056
"PRSS8","PRSS8","16",31131433,31135727
"DNAJB9","DNAJB9","7",108569867,108574850
"CRKL","CRKL","22",20917407,20953747
"UBTD2","UBTD2","5",172209646,172283764
"DOCK4-AS1","DOCK4-AS1","7",111808516,111821773
"THAP7","THAP7","22",20999104,21002196
"LINC02903","LINC02903","7",108883975,108884587
"ANKRD7","ANKRD7","7",118214669,118496171
"SAP30L","SAP30L","5",154445997,154461053
"PRSS36","PRSS36","16",31138926,31150083
"ADAM33","ADAM33","20",3667965,3682246
"CEP192","CEP192","18",12991362,13125052
"LAMB4","LAMB4","7",108023548,108130361
"TCF20","TCF20","22",42160013,42343616
"NRG2","NRG2","5",139846779,140043299
"LINC02426","LINC02426","12",81953719,81993136
"CDK17","CDK17","12",96278261,96400480
"USP34","USP34","2",61187463,61471087
"APOL4","APOL4","22",36189124,36204840
"INPP5K","INPP5K","17",1494577,1516742
"PYCARD","PYCARD","16",31201486,31203450
"ZP2","ZP2","16",21197450,21214510
"CCNG2","CCNG2","4",77157207,77433388
"ZNF675","ZNF675","19",23525631,23687220
"CHD8","CHD8","14",21385194,21456126
"HEPHL1","HEPHL1","11",94021354,94114208
"CMKLR1","CMKLR1","12",108288044,108339317
"SLC12A5","SLC12A5","20",46021690,46060150
"TM6SF2","TM6SF2","19",19264364,19273391
"ZNF277","ZNF277","7",112206695,112343934
"VSTM5","VSTM5","11",93818232,93850618
"FAM200C","FAM200C","5",160393148,160400054
"CECR2","CECR2","22",17359949,17558151
"WASHC3","WASHC3","12",102012840,102062149
"TRIM49","TRIM49","11",89797655,89808575
"KIF11","KIF11","10",92574105,92655395
"COMMD10","COMMD10","5",116085016,116412762
"LINC02511","LINC02511","4",136795919,137212799
"SUGP2","SUGP2","19",18990888,19034023
"PRMT9","PRMT9","4",147637785,147684163
"ANKS4B","ANKS4B","16",21233699,21253850
"NAGPA","NAGPA","16",5024844,5034141
"RAB38","RAB38","11",88113251,88175443
"AIFM3","AIFM3","22",20965108,20981360
"RILP","RILP","17",1646145,1649866
"NAT16","NAT16","7",101170496,101180293
"TNFAIP8","TNFAIP8","5",119268692,119399688
"KCND2","KCND2","7",120273175,120750337
"TLCD2","TLCD2","17",1702816,1710377
"GAL","GAL","11",68683779,68691175
"ANKRD50","ANKRD50","4",124664048,124712732
"IMMP2L","IMMP2L","7",110662644,111562517
"DHFR","DHFR","5",80626226,80654983
"SERPINF2","SERPINF2","17",1742836,1755265
"AIFM2","AIFM2","10",70098223,70132934
"GNPTAB","GNPTAB","12",101745499,101830959
"RELT","RELT","11",73376399,73397474
"LBH","LBH","2",30231534,30323730
"RAB19","RAB19","7",140404058,140427974
"PPA1","PPA1","10",70202835,70233911
"JADE1","JADE1","4",128809700,128875224
"TCAF1","TCAF1","7",143851375,143902198
"DNAAF10","DNAAF10","2",68122936,68157549
"KBTBD8","KBTBD8","3",66998307,67011210
"LINC02995","LINC02995","5",173578275,173585068
"SH3PXD2B","SH3PXD2B","5",172325000,172454525
"HAL","HAL","12",95972662,95996365
"CARD18","CARD18","11",105137714,105531697
"SERPINF1","SERPINF1","17",1762029,1777565
"SND1","SND1","7",127652194,128092609
"TRPC6","TRPC6","11",101451564,101872562
"TRABD2A","TRABD2A","2",84821650,84907008
"PDZRN3","PDZRN3","3",73382431,73624941
"TYSND1","TYSND1","10",70137981,70146700
"MEF2B","MEF2B","19",19145567,19192131
"EEF2KMT","EEF2KMT","16",5084284,5097795
"RRBP1","RRBP1","20",17613678,17682295
"NSMCE4A","NSMCE4A","10",121957091,121975217
"KCTD16","KCTD16","5",144170873,144485686
"EVA1A","EVA1A","2",75469302,75569722
"LIN28B","LIN28B","6",104936616,105083332
"HAND1","HAND1","5",154474972,154478227
"FABP7","FABP7","6",122779716,122784074
"HPS6","HPS6","10",102065349,102068036
"SMYD4","SMYD4","17",1779485,1830634
"LDB1","LDB1","10",102106489,102120368
"HINT3","HINT3","6",125956770,125980244
"DLX5","DLX5","7",97020396,97024950
"PTTG1","PTTG1","5",160421855,160428739
"CALHM6-AS1","CALHM6-AS1","6",116460739,116463692
"PEX3","PEX3","6",143450805,143490616
"FAM3C","FAM3C","7",121348878,121396364
"HNRNPLL","HNRNPLL","2",38561969,38603586
"LDLRAD4","LDLRAD4","18",13217498,13652755
"LINC02164","LINC02164","16",5215243,5220843
"FAM3D-AS1","FAM3D-AS1","3",58607080,58644491
"CLTRN","CLTRN","X",15627318,15675012
"LINC01570","LINC01570","16",5596856,5616373
"RPA1","RPA1","17",1829702,1900082
"KDM2A","KDM2A","11",67119263,67258082
"FAM107A","FAM107A","3",58564117,58627610
"RPL10","RPL10","X",154389955,154409168
"SMIM30","SMIM30","7",113116718,113118560
"MT4","MT4","16",56565073,56568957
"PPRC1","PPRC1","10",102132994,102150333
"HSF2","HSF2","6",122399551,122433119
"ZNF431","ZNF431","19",21142024,21196053
"MT2A","MT2A","16",56608584,56609497
"TRBV4-2","TRBV4-2","7",142345421,142345985
"CDHR3","CDHR3","7",105876796,106036432
"PTPN13","PTPN13","4",86594315,86815171
"MT1E","MT1E","16",56625475,56627112
"KRT77","KRT77","12",52689626,52703524
"MC2R","MC2R","18",13882044,13915707
"ERVK-28","ERVK-28","19",27638483,27646483
"LMF2","LMF2","22",50502949,50507702
"IL3","IL3","5",132060655,132063204
"ZNF98","ZNF98","19",22391019,22532485
"ZNF519","ZNF519","18",14057457,14132490
"MT1M","MT1M","16",56632659,56633981
"LINC02097","LINC02097","17",72072333,72103035
"TINAG","TINAG","6",54307859,54390142
"SOX9","SOX9","17",72121020,72126416
"GAS2L3","GAS2L3","12",100573683,100628288
"MT1A","MT1A","16",56638666,56640087
"ABITRAM","ABITRAM","9",108934400,108950744
"SPPL2C","SPPL2C","17",45844881,45847067
"ZNF717","ZNF717","3",75678660,75785583
"MAPT-IT1","MAPT-IT1","17",45895783,45898798
"ZNF730","ZNF730","19",23075210,23147221
"MT1B","MT1B","16",56651886,56653204
"NOLC1","NOLC1","10",102152176,102163871
"STH","STH","17",45999250,45999694
"ARHGAP26","ARHGAP26","5",142770377,143229011
"CTNNAL1","CTNNAL1","9",108942569,109013522
"HAPLN4","HAPLN4","19",19254756,19262804
"BAIAP2L1","BAIAP2L1","7",98291650,98401090
"CLUL1","CLUL1","18",596988,650334
"HTR1E","HTR1E","6",86937528,87016679
"PPFIA2-AS1","PPFIA2-AS1","12",81270669,81312422
"MT1F","MT1F","16",56657731,56660698
"SMC1A","SMC1A","X",53374149,53422728
"TBX18","TBX18","6",84687351,84764598
"SGK2","SGK2","20",43558968,43588237
"ZNF728","ZNF728","19",22974883,23003176
"NCAPH2","NCAPH2","22",50508224,50524780
"MT1X","MT1X","16",56682470,56684196
"ADAMTS9-AS1","ADAMTS9-AS1","3",64561322,64592757
"SPOP","SPOP","17",49598884,49678163
"PNO1","PNO1","2",68157888,68176238
"RAB2B","RAB2B","14",21459020,21476960
"QRFP","QRFP","9",130892707,130896812
"CRYM","CRYM","16",21238874,21303083
"SLC9A6","SLC9A6","X",135973841,136047269
"FIBCD1","FIBCD1","9",130902438,130939286
"TFEC","TFEC","7",115935148,116159896
"PDCD2L","PDCD2L","19",34404399,34426168
"TM7SF3","TM7SF3","12",26971579,27014434
"HDAC2","HDAC2","6",113933028,114011308
"EPHA3","EPHA3","3",89107621,89482134
"PRDM12","PRDM12","9",130664594,130682986
"PNPT1","PNPT1","2",55634061,55693863
"ELOVL3","ELOVL3","10",102226299,102229589
"IER5L","IER5L","9",129175552,129178261
"SERPINB10","SERPINB10","18",63907958,63936111
"SLC24A4","SLC24A4","14",92322581,92501481
"CHST8","CHST8","19",33621953,33773509
"TNFRSF11A","TNFRSF11A","18",62325287,62391288
"IER5L-AS1","IER5L-AS1","9",129175807,129261581
"PITRM1-AS1","PITRM1-AS1","10",3141632,3167972
"IGSF6","IGSF6","16",21639550,21652608
"SPATA31A1","SPATA31A1","9",39355669,39361962
"PRSS37","PRSS37","7",141836300,141841487
"ZNF723","ZNF723","19",22832291,22858667
"PITRM1","PITRM1","10",3137728,3172841
"HIBADH","HIBADH","7",27525442,27662883
"UQCRC2","UQCRC2","16",21953288,21983660
"SLN","SLN","11",107707378,107719693
"SLC46A2","SLC46A2","9",112878920,112890876
"CCT2","CCT2","12",69585426,69601570
"ZCCHC2","ZCCHC2","18",62523025,62587709
"KAT14","KAT14","20",18137228,18188387
"SLC46A2-AS1","SLC46A2-AS1","9",112885158,112885767
"PDGFD","PDGFD","11",103907189,104164379
"SLC31A2","SLC31A2","9",113150976,113164140
"OR1K1","OR1K1","9",122800123,122801073
"IMPG2","IMPG2","3",101222546,101320575
"RC3H2","RC3H2","9",122844556,122905359
"SCGB3A2","SCGB3A2","5",147870682,147882191
"ARMC10","ARMC10","7",103074881,103099759
"PPP2R1B","PPP2R1B","11",111726908,111766389
"PSMA3","PSMA3","14",58244843,58272012
"LINC02836","LINC02836","6",105612667,105632296
"SCO2","SCO2","22",50523568,50526461
"SLC35G4","SLC35G4","18",11609596,11610612
"GABRA1","GABRA1","5",161847063,161899981
"TYMP","TYMP","22",50525752,50530032
"CHMP1B","CHMP1B","18",11851413,11854444
"TGM3","TGM3","20",2296001,2341079
"CHMP1B-AS1","CHMP1B-AS1","18",11851414,11852751
"TSHZ1","TSHZ1","18",75210755,75289950
"LINC02070","LINC02070","3",86481943,86496996
"TGM6","TGM6","20",2380901,2432753
"LRRTM4-AS1","LRRTM4-AS1","2",76985965,77009791
"ROCK1P1","ROCK1P1","18",116842,118504
"TBC1D23","TBC1D23","3",100260992,100325251
"BCLAF1","BCLAF1","6",136256627,136289851
"REG3G","REG3G","2",79025686,79028505
"MBD1","MBD1","18",50266882,50281774
"SNRPB","SNRPB","20",2461634,2470853
"PARP12","PARP12","7",140023749,140062951
"DMKN","DMKN","19",35497220,35513658
"ZBTB6","ZBTB6","9",122908056,122913323
"ZBTB26","ZBTB26","9",122915566,122931512
"LINC03050","LINC03050","2",65589566,65640177
"RABGAP1","RABGAP1","9",122940833,123104866
"REG1A","REG1A","2",79120362,79123409
"SBK1","SBK1","16",28259246,28323849
"STK26","STK26","X",132023302,132075943
"GEMIN6","GEMIN6","2",38751534,38785002
"RALGAPB","RALGAPB","20",38472816,38578859
"SFTPD","SFTPD","10",79937467,79982614
"LINC01809","LINC01809","2",83522814,83523502
"APPL2","APPL2","12",105173297,105236203
"LINC00216","LINC00216","14",58288033,58289158
"ASB3","ASB3","2",53532672,53860160
"PODXL","PODXL","7",131500262,131558217
"SFTPD-AS1","SFTPD-AS1","10",79968213,79973213
"IL27","IL27","16",28499362,28512051
"ARID4A","ARID4A","14",58298504,58373887
"TMEM254","TMEM254","10",80078646,80092557
"SGF29","SGF29","16",28553915,28591790
"MIR600HG","MIR600HG","9",123109494,123115477
"STRBP","STRBP","9",123109500,123268586
"TOMM70","TOMM70","3",100363431,100401089
"TMPRSS5","TMPRSS5","11",113687547,113706373
"DYNC2I1","DYNC2I1","7",158856558,158956747
"SLC35B1","SLC35B1","17",49700934,49709014
"TUFM","TUFM","16",28842411,28846348
"KLHDC7B","KLHDC7B","22",50545899,50551023
"SYCE3","SYCE3","22",50551112,50562919
"SENP7","SENP7","3",101324205,101513241
"MACROH2A2","MACROH2A2","10",70052544,70112282
"MKRN1","MKRN1","7",140453033,140479536
"RABEP2","RABEP2","16",28904421,28936526
"EPAS1","EPAS1","2",46293667,46386697
"CHKB","CHKB","22",50578959,50601455
"RAP2C","RAP2C","X",132203024,132219480
"TMCC3","TMCC3","12",94567122,94650557
"MAP1LC3B2","MAP1LC3B2","12",116548105,116576606
"PLP1","PLP1","X",103773718,103792619
"GXYLT1","GXYLT1","12",42081845,42144874
"NPFFR1","NPFFR1","10",70247329,70284004
"FAM117A","FAM117A","17",49710332,49789180
"MLLT10","MLLT10","10",21524646,21743630
"KLRG2","KLRG2","7",139452690,139483673
"RAB21","RAB21","12",71754863,71800286
"GNAI1","GNAI1","7",79768028,80226181
"FXN","FXN","9",69035751,69079076
"ADD2","ADD2","2",70607618,70768225
"TOMM20L","TOMM20L","14",58395928,58408702
"CD19","CD19","16",28931965,28939342
"TJP2","TJP2","9",69121264,69274615
"TIMM9","TIMM9","14",58408495,58427531
"CCDC38","CCDC38","12",95867048,95942635
"MAPK8IP2","MAPK8IP2","22",50600793,50613981
"GLRA3","GLRA3","4",174636920,174829247
"SLC32A1","SLC32A1","20",38724486,38729372
"GFPT2","GFPT2","5",180300698,180353336
"ACTR5","ACTR5","20",38748460,38772520
"NXPH4","NXPH4","12",57216794,57226449
"DLX3","DLX3","17",49990005,49995224
"SH2B3","SH2B3","12",111405923,111451623
"CNBD2","CNBD2","20",35954564,36030700
"KIAA0586","KIAA0586","14",58427385,58551297
"ELMOD1","ELMOD1","11",107591091,107666779
"JADRR","JADRR","4",128768228,128769948
"NONO","NONO","X",71254814,71301522
"CEP131","CEP131","17",81189593,81222999
"LINC02431","LINC02431","4",171040564,171059163
"ARSA","ARSA","22",50622754,50628173
"ZNF740","ZNF740","12",53180704,53195142
"NFATC2IP-AS1","NFATC2IP-AS1","16",28952816,28966883
"BOD1","BOD1","5",173607145,173616659
"LINC00615","LINC00615","12",90918023,90948669
"SH3RF1","SH3RF1","4",169094259,169270956
"SPNS1","SPNS1","16",28974221,28984548
"NR1H4","NR1H4","12",100473708,100564414
"SLU7","SLU7","5",160401641,160421711
"COL20A1","COL20A1","20",63293186,63334851
"TRBV6-2","TRBV6-2","7",142349152,142349664
"STRIP2","STRIP2","7",129434432,129488399
"DSCAML1","DSCAML1","11",117427772,117817525
"DCLK2","DCLK2","4",150078445,150257438
"DLX6","DLX6","7",97005553,97011040
"ATP10B","ATP10B","5",160563120,160852214
"CMSS1","CMSS1","3",99817837,100181732
"GNGT1","GNGT1","7",93591573,93911265
"ADGRG6","ADGRG6","6",142301854,142446266
"POT1","POT1","7",124822386,124929983
"EPC1","EPC1","10",32267751,32378798
"TMEM191C","TMEM191C","22",21466423,21471269
"WFDC10B","WFDC10B","20",45684651,45705019
"KCMF1","KCMF1","2",84971093,85059472
"NIT2","NIT2","3",100334739,100361635
"RANBP17","RANBP17","5",170861870,171300015
"TAF4","TAF4","20",61953469,62065881
"LINC02512","LINC02512","4",170343089,170372311
"TSPAN5","TSPAN5","4",98470367,98658611
"BCL11A","BCL11A","2",60450520,60554467
"RAB36","RAB36","22",23145366,23165663
"C20orf202","C20orf202","20",1203454,1209076
"NDUFAF8","NDUFAF8","17",81239305,81241310
"ARHGAP40","ARHGAP40","20",38601809,38651035
"TIMM23B","TIMM23B","10",49942049,49974850
"WFDC8","WFDC8","20",45551153,45579326
"LINC02392","LINC02392","12",90280894,90300974
"CABCOCO1","CABCOCO1","10",61662929,61766766
"SLC38A10","SLC38A10","17",81244811,81295547
"MSANTD7","MSANTD7","10",14838302,14846999
"CBLB","CBLB","3",105655461,105869552
"H1-0","H1-0","22",37805229,37807432
"CLDN5","CLDN5","22",19523024,19527545
"PIGT","PIGT","20",45416084,45456934
"NUTM2D","NUTM2D","10",87357720,87370695
"FNIP2","FNIP2","4",158769026,158908050
"FAM227A","FAM227A","22",38578118,38656629
"OSBPL8","OSBPL8","12",76351797,76559809
"AP3M1","AP3M1","10",74120255,74150842
"ARHGEF17","ARHGEF17","11",73308276,73369388
"SPN","SPN","16",29662979,29670876
"EGFL7","EGFL7","9",136658856,136672678
"RIMBP3C","RIMBP3C","22",21545666,21551461
"C22orf31","C22orf31","22",29058672,29061831
"NPY1R","NPY1R","4",163323962,163344832
"PPM1F","PPM1F","22",21919425,21952848
"HERC4","HERC4","10",67921899,68075301
"FAAP100","FAAP100","17",81539885,81553961
"TMSB10","TMSB10","2",84905656,84906671
"TAOK2","TAOK2","16",29973868,29992261
"TMA16","TMA16","4",163494442,163520539
"MRPL19","MRPL19","2",75646783,75690851
"TNFRSF13B","TNFRSF13B","17",16929816,16972118
"FUT9","FUT9","6",96015974,96215612
"SMCO4","SMCO4","11",93478472,93543391
"CALHM6","CALHM6","6",116461370,116463771
"TOP3B","TOP3B","22",21957025,21982813
"BMP5","BMP5","6",55753653,55875590
"PAIP2B","PAIP2B","2",71182738,71227103
"P4HA3","P4HA3","11",74235801,74311640
"MPRIP-AS1","MPRIP-AS1","17",17076038,17077752
"FAM83B","FAM83B","6",54846771,54945099
"FABP1","FABP1","2",88122982,88128062
"PLD6","PLD6","17",17200995,17206333
"COL10A1","COL10A1","6",116118909,116158747
"DIPK1B","DIPK1B","9",136712572,136724742
"FLCN","FLCN","17",17212212,17237188
"MOXD1","MOXD1","6",132296055,132401475
"EVA1A-AS","EVA1A-AS","2",75524068,75542706
"LCN10","LCN10","9",136738167,136743356
"PDLIM5","PDLIM5","4",94451857,94668227
"PKDCC","PKDCC","2",42048021,42058517
"BMT2","BMT2","7",112819147,112939875
"HIRIP3","HIRIP3","16",29992330,29996074
"TRBV7-2","TRBV7-2","7",142352819,142353358
"COL26A1","COL26A1","7",101362875,101559024
"ASCC3","ASCC3","6",100508194,100881372
"REG1B","REG1B","2",79085023,79088019
"COPS3","COPS3","17",17246616,17281273
"LCN6","LCN6","9",136744017,136748525
"TCF7L1","TCF7L1","2",85133392,85310387
"LNP1","LNP1","3",100401532,100456319
"INO80E","INO80E","16",29995715,30005793
"FEZF2","FEZF2","3",62369681,62374324
"LCN15","LCN15","9",136759634,136766255
"TRBV9","TRBV9","7",142391891,142392412
"GUCA1C","GUCA1C","3",108907792,108953879
"TRBV8-1","TRBV8-1","7",142358639,142358917
"CLNS1A","CLNS1A","11",77514936,77637794
"ATP6V0A4","ATP6V0A4","7",138706294,138799560
"FTMT","FTMT","5",121851882,121852833
"TMEM141","TMEM141","9",136791344,136793317
"NSG2","NSG2","5",174045706,174243501
"ALCAM","ALCAM","3",105366909,105576900
"GALNT14","GALNT14","2",30910467,31155202
"CCDC183","CCDC183","9",136796338,136807741
"IGLVI-70","IGLVI-70","22",22026076,22026593
"IGLV4-69","IGLV4-69","22",22030934,22031472
"IGLVI-68","IGLVI-68","22",22032745,22033194
"IGLV10-54","IGLV10-54","22",22214794,22215270
"IGLV10-67","IGLV10-67","22",22043618,22043942
"IGLVIV-66-1","IGLVIV-66-1","22",22058433,22058892
"IGLVV-66","IGLVV-66","22",22061077,22061538
"IGLVIV-65","IGLVIV-65","22",22070225,22070707
"IGLVIV-64","IGLVIV-64","22",22075366,22075666
"IGLVI-63","IGLVI-63","22",22079770,22080263
"IGLV1-62","IGLV1-62","22",22086561,22087110
"IGLV8-61","IGLV8-61","22",22098700,22099212
"CCDC183-AS1","CCDC183-AS1","9",136803927,136808848
"C14orf180","C14orf180","14",104579764,104590515
"IGLV4-60","IGLV4-60","22",22162199,22162681
"IGLVIV-59","IGLVIV-59","22",22179228,22179477
"IGLVV-58","IGLVV-58","22",22182582,22182885
"RABL6","RABL6","9",136807943,136841187
"IGLV6-57","IGLV6-57","22",22195799,22196276
"IGLVI-56","IGLVI-56","22",22198560,22199011
"IGLV11-55","IGLV11-55","22",22201663,22202161
"IGLVIV-53","IGLVIV-53","22",22219647,22220133
"LINC02524","LINC02524","6",135628787,135634681
"IGLV5-52","IGLV5-52","22",22318727,22319226
"ZFYVE21","ZFYVE21","14",103715730,103733668
"IGLV1-51","IGLV1-51","22",22322472,22322969
"PPP1R14C","PPP1R14C","6",150143044,150250392
"IGLV1-50","IGLV1-50","22",22327300,22327814
"IGLV9-49","IGLV9-49","22",22343187,22343732
"NR3C1","NR3C1","5",143277931,143435512
"IGLV5-48","IGLV5-48","22",22352940,22353433
"IGLV1-47","IGLV1-47","22",22357739,22358260
"IGLV7-46","IGLV7-46","22",22369614,22370087
"STX3","STX3","11",59713456,59805882
"IGLV5-45","IGLV5-45","22",22375986,22376505
"DOC2A","DOC2A","16",30005514,30023270
"EYS","EYS","6",63719980,65707226
"IGLV1-44","IGLV1-44","22",22380766,22381347
"IGLV7-43","IGLV7-43","22",22395018,22395489
"IGLVI-42","IGLVI-42","22",22397032,22397524
"EIF4E3","EIF4E3","3",71675414,71754773
"IGLVVII-41-1","IGLVVII-41-1","22",22398849,22398999
"IGLV1-41","IGLV1-41","22",22404207,22404721
"IGLV1-40","IGLV1-40","22",22409766,22410282
"IGLVI-38","IGLVI-38","22",22425821,22426314
"IGLV5-37","IGLV5-37","22",22427540,22428035
"IGLV1-36","IGLV1-36","22",22431958,22432465
"IGLV7-35","IGLV7-35","22",22450202,22450652
"PIP4P1","PIP4P1","14",20457681,20461465
"NT5M","NT5M","17",17303335,17347663
"CCDC157","CCDC157","22",30356635,30378673
"TRBV5-2","TRBV5-2","7",142372640,142372912
"NCAPG2","NCAPG2","7",158631169,158704804
"MED9","MED9","17",17476994,17493221
