"ensembl_gene_id" "hgnc_symbol" "chromosome_name" "start_position" "end_position"
"5751" "ENSG00000163710" "PCOLCE2" "3" 142815922 142889206
"5752" "ENSG00000161217" "PCYT1A" "3" 196214222 196287957
"5755" "ENSG00000114209" "PDCD10" "3" 167683298 167734939
"5756" "ENSG00000170248" "PDCD6IP" "3" 33798571 33869707
"5757" "ENSG00000271643" "PDCD6IP-DT" "3" 33778710 33799029
"5761" "ENSG00000174840" "PDE12" "3" 57556274 57656480
"5770" "ENSG00000168291" "PDHB" "3" 58427630 58433857
"5771" "ENSG00000065485" "PDIA5" "3" 123067025 123225227
"5775" "ENSG00000121440" "PDZRN3" "3" 73382431 73624941
"5776" "ENSG00000239677" "PDZRN3-AS1" "3" 73621603 73627906
"5779" "ENSG00000114757" "PEX5L" "3" 179794958 180037053
"5780" "ENSG00000243799" "PEX5L-AS1" "3" 179875376 179881609
"5781" "ENSG00000244302" "PEX5L-AS2" "3" 179898194 179921899
"5784" "ENSG00000114268" "PFKFB4" "3" 48517684 48562015
"5785" "ENSG00000070087" "PFN2" "3" 149964904 150050788
"5786" "ENSG00000242791" "PFN2-AS1" "3" 149971347 149982425
"5791" "ENSG00000173889" "PHC3" "3" 170086732 170181749
"5792" "ENSG00000010318" "PHF7" "3" 52410660 52423641
"5793" "ENSG00000144824" "PHLDB2" "3" 111732497 111976517
"5800" "ENSG00000163964" "PIGX" "3" 196639775 196736007
"5803" "ENSG00000119227" "PIGZ" "3" 196946356 196969060
"5804" "ENSG00000121879" "PIK3CA" "3" 179148114 179240093
"5805" "ENSG00000229102" "PIK3CA-DT" "3" 179097948 179148098
"5806" "ENSG00000051382" "PIK3CB" "3" 138652336 138834928
"5807" "ENSG00000196455" "PIK3R4" "3" 130678934 130746829
"5809" "ENSG00000281473" "PISRT1" "3" 139232992 139233522
"5815" "ENSG00000144837" "PLA1A" "3" 119597875 119629811
"5818" "ENSG00000127252" "PLAAT1" "3" 193241128 193277738
"5822" "ENSG00000187091" "PLCD1" "3" 38007496 38029642
"5824" "ENSG00000114805" "PLCH1" "3" 155375580 155745071
"5825" "ENSG00000239508" "PLCH1-AS1" "3" 155449184 155457753
"5826" "ENSG00000242925" "PLCH1-AS2" "3" 155485691 155487121
"5828" "ENSG00000154822" "PLCL2" "3" 16802651 17090604
"5832" "ENSG00000240891" "PLCXD2" "3" 111674676 111846447
"5833" "ENSG00000240766" "PLCXD2-AS1" "3" 111676736 111677433
"5834" "ENSG00000075651" "PLD1" "3" 171600404 171810950
"5839" "ENSG00000152952" "PLOD2" "3" 146035139 146163725
"5841" "ENSG00000120756" "PLS1" "3" 142596393 142713664
"5842" "ENSG00000239641" "PLS1-AS1" "3" 142654697 142656836
"5843" "ENSG00000188313" "PLSCR1" "3" 146515180 146544856
"5844" "ENSG00000163746" "PLSCR2" "3" 146391421 146495991
"5845" "ENSG00000114698" "PLSCR4" "3" 146192335 146251179
"5846" "ENSG00000231213" "PLSCR5" "3" 146576555 146605346
"5847" "ENSG00000241457" "PLSCR5-AS1" "3" 146589602 146590325
"5848" "ENSG00000114554" "PLXNA1" "3" 126982693 127037389
"5849" "ENSG00000164050" "PLXNB1" "3" 48403854 48430086
"5850" "ENSG00000004399" "PLXND1" "3" 129555214 129606676
"5853" "ENSG00000164087" "POC1A" "3" 52075226 52154690
"5854" "ENSG00000114631" "PODXL2" "3" 127629185 127672802
"5855" "ENSG00000163389" "POGLUT1" "3" 119468963 119494708
"5857" "ENSG00000051341" "POLQ" "3" 121431431 121545988
"5861" "ENSG00000163882" "POLR2H" "3" 184361710 184368596
"5862" "ENSG00000144647" "POMGNT2" "3" 43079229 43106085
"5863" "ENSG00000121577" "POPDC2" "3" 119636457 119665324
"5870" "ENSG00000064835" "POU1F1" "3" 87259404 87276584
"5873" "ENSG00000183977" "PP2D1" "3" 19979961 20012267
"5875" "ENSG00000132170" "PPARG" "3" 12287368 12434356
"5886" "ENSG00000163590" "PPM1L" "3" 160755602 161078902
"5887" "ENSG00000260572" "PPM1L-DT" "3" 160740553 160755153
"5888" "ENSG00000164088" "PPM1M" "3" 52245759 52250599
"5890" "ENSG00000184203" "PPP1R2" "3" 195514428 195543386
"5893" "ENSG00000073711" "PPP2R3A" "3" 135965728 136147894
"5895" "ENSG00000163605" "PPP4R2" "3" 72996803 73069198
"5899" "ENSG00000163637" "PRICKLE2" "3" 64092236 64445476
"5900" "ENSG00000241101" "PRICKLE2-AS2" "3" 64103470 64106056
"5901" "ENSG00000226017" "PRICKLE2-AS3" "3" 64187544 64200965
"5902" "ENSG00000244564" "PRICKLE2-DT" "3" 64445231 64456070
"5904" "ENSG00000114302" "PRKAR2A" "3" 48744597 48847874
"5905" "ENSG00000224424" "PRKAR2A-AS1" "3" 48847572 48897568
"5906" "ENSG00000163932" "PRKCD" "3" 53156009 53192717
"5907" "ENSG00000163558" "PRKCI" "3" 170222424 170305977
"5914" "ENSG00000163421" "PROK2" "3" 71771655 71785206
"5916" "ENSG00000184500" "PROS1" "3" 93873051 93980003
"5918" "ENSG00000239620" "PRR20G" "3" 127283783 127288046
"5919" "ENSG00000206260" "PRR23A" "3" 139003962 139006268
"5920" "ENSG00000184814" "PRR23B" "3" 139019031 139020926
"5921" "ENSG00000233701" "PRR23C" "3" 139042102 139044892
"5922" "ENSG00000214324" "PRR23E" "3" 127193131 127198185
"5925" "ENSG00000163704" "PRRT3" "3" 9939450 9952408
"5926" "ENSG00000230082" "PRRT3-AS1" "3" 9947319 9954793
"5933" "ENSG00000283706" "PRSS50" "3" 46712117 46717869
"5940" "ENSG00000175166" "PSMD2" "3" 184299198 184309050
"5941" "ENSG00000163636" "PSMD6" "3" 64010550 64024010
"5942" "ENSG00000243410" "PSMD6-AS1" "3" 64011964 64016246
"5943" "ENSG00000239653" "PSMD6-AS2" "3" 64004022 64012148
"5944" "ENSG00000160801" "PTH1R" "3" 46877721 46903799
"5949" "ENSG00000076201" "PTPN23" "3" 47381011 47413435
"5950" "ENSG00000260236" "PTPN23-DT" "3" 47379079 47381620
"5952" "ENSG00000144724" "PTPRG" "3" 61561569 62297609
"5953" "ENSG00000241472" "PTPRG-AS1" "3" 62214400 62369406
"5956" "ENSG00000163661" "PTX3" "3" 157436850 157443633
"5957" "ENSG00000168297" "PXK" "3" 58332880 58426127
"5958" "ENSG00000155893" "PXYLP1" "3" 141228726 141367753
"5959" "ENSG00000253548" "PYDC2" "3" 191461163 191461456
"5960" "ENSG00000223812" "PYDC2-AS1" "3" 191425493 191591097
"5962" "ENSG00000172053" "QARS1" "3" 49095932 49105130
"5966" "ENSG00000198218" "QRICH1" "3" 49029707 49094363
"5967" "ENSG00000151576" "QTRT2" "3" 114005833 114088422
"5975" "ENSG00000172780" "RAB43" "3" 129087569 129122801
"5976" "ENSG00000144566" "RAB5A" "3" 19947097 19985175
"5977" "ENSG00000154917" "RAB6B" "3" 133824235 133895882
"5983" "ENSG00000075785" "RAB7A" "3" 128693669 128825942
"5985" "ENSG00000144840" "RABL3" "3" 120684938 120742993
"5986" "ENSG00000070950" "RAD18" "3" 8775402 8963773
"5987" "ENSG00000164080" "RAD54L2" "3" 51538719 51668667
"5988" "ENSG00000132155" "RAF1" "3" 12582101 12664201
"5993" "ENSG00000181467" "RAP2B" "3" 153162226 153170627
"5998" "ENSG00000077092" "RARB" "3" 24687887 25597932
"5999" "ENSG00000118849" "RARRES1" "3" 158696892 158732489
"6000" "ENSG00000155903" "RASA2" "3" 141487027 141615344
"6001" "ENSG00000250170" "RASA2-IT1" "3" 141525133 141526121
"6004" "ENSG00000068028" "RASSF1" "3" 50329782 50340980
"6005" "ENSG00000281358" "RASSF1-AS1" "3" 50337425 50338300
"6007" "ENSG00000259956" "RBM15B" "3" 51391285 51397908
"6013" "ENSG00000003756" "RBM5" "3" 50088919 50119021
"6014" "ENSG00000281691" "RBM5-AS1" "3" 50099603 50100988
"6015" "ENSG00000004534" "RBM6" "3" 49940007 50100045
"6017" "ENSG00000144642" "RBMS3" "3" 28574791 30010391
"6018" "ENSG00000235593" "RBMS3-AS1" "3" 29926811 29934156
"6019" "ENSG00000203506" "RBMS3-AS2" "3" 29526251 29642809
"6020" "ENSG00000235904" "RBMS3-AS3" "3" 29054570 29290726
"6021" "ENSG00000114115" "RBP1" "3" 139517434 139539829
"6022" "ENSG00000114113" "RBP2" "3" 139452884 139480747
"6024" "ENSG00000131381" "RBSN" "3" 15070069 15099163
"6026" "ENSG00000214407" "RDUR" "3" 101868657 101997926
"6031" "ENSG00000163515" "RETNLB" "3" 108743424 108757410
"6034" "ENSG00000163918" "RFC4" "3" 186789880 186807058
"6035" "ENSG00000163933" "RFT1" "3" 53066853 53130453
"6036" "ENSG00000131378" "RFTN1" "3" 16313574 16514026
"6047" "ENSG00000163914" "RHO" "3" 129528639 129535344
"6048" "ENSG00000067560" "RHOA" "3" 49359139 49412998
"6049" "ENSG00000235908" "RHOA-IT1" "3" 49365145 49367006
"6052" "ENSG00000170854" "RIOX2" "3" 97941818 97972457
"6054" "ENSG00000164068" "RNF123" "3" 49689538 49721529
"6055" "ENSG00000082996" "RNF13" "3" 149812770 149962139
"6058" "ENSG00000163961" "RNF168" "3" 196468783 196503768
"6063" "ENSG00000114125" "RNF7" "3" 141738249 141747560
"6065" "ENSG00000169855" "ROBO1" "3" 78597239 79767998
"6066" "ENSG00000185008" "ROBO2" "3" 75906695 77649964
"6067" "ENSG00000065371" "ROPN1" "3" 123968521 123992178
"6068" "ENSG00000114547" "ROPN1B" "3" 125969160 125983454
"6070" "ENSG00000188846" "RPL14" "3" 40457292 40468587
"6071" "ENSG00000174748" "RPL15" "3" 23916591 23924374
"6072" "ENSG00000163584" "RPL22L1" "3" 170864875 170870208
"6073" "ENSG00000114391" "RPL24" "3" 101681091 101686733
"6074" "ENSG00000162244" "RPL29" "3" 51993522 51995895
"6076" "ENSG00000144713" "RPL32" "3" 12834485 12841582
"6079" "ENSG00000182899" "RPL35A" "3" 197950190 197956610
"6082" "ENSG00000163923" "RPL39L" "3" 187120948 187180908
"6084" "ENSG00000163902" "RPN1" "3" 128619969 128681075
"6085" "ENSG00000163684" "RPP14" "3" 58306245 58324695
"6089" "ENSG00000168028" "RPSA" "3" 39406716 39426255
"6090" "ENSG00000156990" "RPUSD3" "3" 9837849 9844602
"6092" "ENSG00000114767" "RRP9" "3" 51933429 51941904
"6093" "ENSG00000174891" "RSRC1" "3" 158105855 158545730
"6096" "ENSG00000198471" "RTP2" "3" 187698259 187702557
"6097" "ENSG00000163825" "RTP3" "3" 46494611 46500950
"6102" "ENSG00000145016" "RUBCN" "3" 197668867 197749727
"6105" "ENSG00000175792" "RUVBL1" "3" 128064778 128153914
"6106" "ENSG00000239608" "RUVBL1-AS1" "3" 128075810 128079056
"6110" "ENSG00000163785" "RYK" "3" 134065303 134250859
"6112" "ENSG00000211456" "SACM1L" "3" 45689056 45745412
"6115" "ENSG00000187033" "SAMD7" "3" 169911572 169939175
"6116" "ENSG00000240405" "SAMMSON" "3" 69999550 70518064
"6118" "ENSG00000182568" "SATB1" "3" 18345377 18445621
"6119" "ENSG00000228956" "SATB1-AS1" "3" 18445024 18923280
"6122" "ENSG00000280620" "SCAANT1" "3" 63911512 63912383
"6123" "ENSG00000114650" "SCAP" "3" 47413681 47477126
"6128" "ENSG00000151967" "SCHIP1" "3" 159273244 159897629
"6132" "ENSG00000185313" "SCN10A" "3" 38696802 38816286
"6133" "ENSG00000168356" "SCN11A" "3" 38845764 39052157
"6138" "ENSG00000183873" "SCN5A" "3" 38548057 38649743
"6157" "ENSG00000185485" "SDHAP1" "3" 195963335 195990258
"6158" "ENSG00000214135" "SDHAP4" "3" 197619740 197627848
"6159" "ENSG00000157020" "SEC13" "3" 10293131 10321112
"6160" "ENSG00000121542" "SEC22A" "3" 123201927 123274136
"6161" "ENSG00000093183" "SEC22C" "3" 42547969 42601080
"6166" "ENSG00000058262" "SEC61A1" "3" 128051641 128071705
"6167" "ENSG00000008952" "SEC62" "3" 169966635 169998373
"6168" "ENSG00000240373" "SEC62-AS1" "3" 169978536 169985715
"6170" "ENSG00000113811" "SELENOK" "3" 53884417 53891885
"6171" "ENSG00000198843" "SELENOT" "3" 150602875 150630436
"6172" "ENSG00000012171" "SEMA3B" "3" 50267558 50277546
"6173" "ENSG00000232352" "SEMA3B-AS1" "3" 50265974 50276052
"6174" "ENSG00000001617" "SEMA3F" "3" 50155045 50189075
"6175" "ENSG00000235016" "SEMA3F-AS1" "3" 50116022 50156085
"6176" "ENSG00000010319" "SEMA3G" "3" 52433035 52445103
"6177" "ENSG00000082684" "SEMA5B" "3" 122909082 123028605
"6178" "ENSG00000163904" "SENP2" "3" 185582496 185633551
"6179" "ENSG00000119231" "SENP5" "3" 196867856 196934714
"6180" "ENSG00000138468" "SENP7" "3" 101324205 101513241
"6186" "ENSG00000120742" "SERP1" "3" 150541998 150603228
"6188" "ENSG00000163536" "SERPINI1" "3" 167735243 167825569
"6189" "ENSG00000114204" "SERPINI2" "3" 167441914 167478972
"6191" "ENSG00000181555" "SETD2" "3" 47016428 47164113
"6192" "ENSG00000168137" "SETD5" "3" 9397615 9479240
"6194" "ENSG00000170364" "SETMAR" "3" 4303332 4317265
"6196" "ENSG00000163935" "SFMBT1" "3" 52903572 53046750
"6201" "ENSG00000129810" "SGO1" "3" 20160593 20186206
"6202" "ENSG00000231304" "SGO1-AS1" "3" 20174244 21168896
"6207" "ENSG00000131370" "SH3BP5" "3" 15254353 15341368
"6208" "ENSG00000224660" "SH3BP5-AS1" "3" 15254184 15264515
"6215" "ENSG00000164054" "SHISA5" "3" 48467798 48504826
"6216" "ENSG00000168779" "SHOX2" "3" 158095905 158106420
"6217" "ENSG00000144736" "SHQ1" "3" 72749277 72861914
"6220" "ENSG00000090402" "SI" "3" 164978898 165078496
"6221" "ENSG00000181788" "SIAH2" "3" 150741125 150763477
"6222" "ENSG00000244265" "SIAH2-AS1" "3" 150761926 151080726
"6223" "ENSG00000072858" "SIDT1" "3" 113532555 113629714
"6224" "ENSG00000239453" "SIDT1-AS1" "3" 113588748 113590189
"6225" "ENSG00000136603" "SKIL" "3" 170357342 170396835
"6232" "ENSG00000221955" "SLC12A8" "3" 125082636 125212864
"6233" "ENSG00000163406" "SLC15A2" "3" 121894401 121944188
"6238" "ENSG00000172940" "SLC22A13" "3" 38265812 38278757
"6239" "ENSG00000144671" "SLC22A14" "3" 38282294 38318575
"6243" "ENSG00000178537" "SLC25A20" "3" 48856926 48898904
"6247" "ENSG00000114120" "SLC25A36" "3" 140941830 140980995
"6248" "ENSG00000144659" "SLC25A38" "3" 39383370 39397351
"6250" "ENSG00000225697" "SLC26A6" "3" 48625723 48635493
"6251" "ENSG00000163581" "SLC2A2" "3" 170996347 171026743
"6255" "ENSG00000169359" "SLC33A1" "3" 155821024 155854456
"6257" "ENSG00000138459" "SLC35A5" "3" 112561709 112585579
"6259" "ENSG00000168917" "SLC35G2" "3" 136818647 136855888
"6261" "ENSG00000188338" "SLC38A3" "3" 50205246 50221486
"6265" "ENSG00000114544" "SLC41A3" "3" 126006357 126101561
"6267" "ENSG00000138463" "SLC49A4" "3" 122795069 122881139
"6271" "ENSG00000033867" "SLC4A7" "3" 27372723 27484420
"6272" "ENSG00000163959" "SLC51A" "3" 196211487 196243178
"6274" "ENSG00000157103" "SLC6A1" "3" 10992186 11039247
"6275" "ENSG00000232287" "SLC6A1-AS1" "3" 11006098 11019224
"6276" "ENSG00000132164" "SLC6A11" "3" 10816201 10940714
"6277" "ENSG00000163817" "SLC6A20" "3" 45755449 45796574
"6278" "ENSG00000131389" "SLC6A6" "3" 14402576 14489349
"6281" "ENSG00000013293" "SLC7A14" "3" 170459548 170586075
"6282" "ENSG00000285051" "SLC7A14-AS1" "3" 170448639 170860993
"6285" "ENSG00000181804" "SLC9A9" "3" 143265222 143848485
"6286" "ENSG00000240012" "SLC9A9-AS1" "3" 143342246 143347071
"6287" "ENSG00000244493" "SLC9A9-AS2" "3" 143381338 143382161
"6292" "ENSG00000174640" "SLCO2A1" "3" 133932701 134052184
"6295" "ENSG00000121871" "SLITRK3" "3" 165186720 165197109
"6296" "ENSG00000163681" "SLMAP" "3" 57755450 57930003
"6306" "ENSG00000173473" "SMARCC1" "3" 47585269 47782106
"6307" "ENSG00000113810" "SMC4" "3" 160399274 160434954
"6308" "ENSG00000214097" "SMCO1" "3" 196506879 196515346
"6326" "ENSG00000163788" "SNRK" "3" 43286512 43424764
"6327" "ENSG00000234617" "SNRK-AS1" "3" 43346923 43352152
"6328" "ENSG00000188817" "SNTN" "3" 63652675 63679020
"6329" "ENSG00000114520" "SNX4" "3" 125446650 125520202
"6335" "ENSG00000168875" "SOX14" "3" 137764315 137766334
"6336" "ENSG00000181449" "SOX2" "3" 181711925 181714436
"6337" "ENSG00000242808" "SOX2-OT" "3" 180989510 181836880
"6348" "ENSG00000186451" "SPATA12" "3" 57060664 57075432
"6349" "ENSG00000144962" "SPATA16" "3" 172889357 173141235
"6356" "ENSG00000114902" "SPCS1" "3" 52704955 52711148
"6360" "ENSG00000163611" "SPICE1" "3" 113442718 113515187
"6362" "ENSG00000229453" "SPINK8" "3" 48306842 48333661
"6369" "ENSG00000175093" "SPSB4" "3" 141051347 141148611
"6370" "ENSG00000196542" "SPTSSB" "3" 161344798 161372880
"6373" "ENSG00000196220" "SRGAP3" "3" 8980591 9363053
"6374" "ENSG00000224808" "SRGAP3-AS1" "3" 9014060 9015983
"6375" "ENSG00000228723" "SRGAP3-AS2" "3" 9192463 9194456
"6376" "ENSG00000227929" "SRGAP3-AS3" "3" 9216895 9219508
"6377" "ENSG00000235830" "SRGAP3-AS4" "3" 9249708 9257508
"6379" "ENSG00000144867" "SRPRB" "3" 133784023 133825772
"6380" "ENSG00000008324" "SS18L2" "3" 42581840 42596934
"6382" "ENSG00000114850" "SSR3" "3" 156539553 156555149
"6383" "ENSG00000157005" "SST" "3" 187668912 187670394
"6384" "ENSG00000125046" "SSUH2" "3" 8619386 8745040
"6385" "ENSG00000064225" "ST3GAL6" "3" 98732236 98821201
"6386" "ENSG00000239445" "ST3GAL6-AS1" "3" 98706236 98733597
"6387" "ENSG00000073849" "ST6GAL1" "3" 186930325 187078553
"6390" "ENSG00000010327" "STAB1" "3" 52495338 52524495
"6391" "ENSG00000144681" "STAC" "3" 36380503 36548007
"6392" "ENSG00000118007" "STAG1" "3" 136336236 136752403
"6393" "ENSG00000261758" "STAG1-DT" "3" 136751534 136806308
"6406" "ENSG00000213533" "STIMATE" "3" 52836219 52897548
"6417" "ENSG00000240045" "STRIT1" "3" 155290227 155293683
"6418" "ENSG00000163527" "STT3B" "3" 31532638 31638548
"6422" "ENSG00000178750" "STX19" "3" 94014365 94028597
"6423" "ENSG00000145087" "STXBP5L" "3" 120908072 121424761
"6424" "ENSG00000172340" "SUCLG2" "3" 67360460 67654612
"6425" "ENSG00000241316" "SUCLG2-DT" "3" 67654585 67947713
"6426" "ENSG00000198829" "SUCNR1" "3" 151873643 151884619
"6434" "ENSG00000144455" "SUMF1" "3" 3700814 4467273
"6436" "ENSG00000173705" "SUSD5" "3" 33150043 33218810
"6437" "ENSG00000157152" "SYN2" "3" 12004388 12192032
"6439" "ENSG00000163630" "SYNPR" "3" 63228315 63616924
"6440" "ENSG00000241359" "SYNPR-AS1" "3" 63421300 63645637
"6445" "ENSG00000171148" "TADA3" "3" 9779967 9793011
"6446" "ENSG00000183662" "TAFA1" "3" 68004247 68545621
"6447" "ENSG00000163377" "TAFA4" "3" 68731766 68953297
"6448" "ENSG00000144834" "TAGLN3" "3" 111998739 112013887
"6456" "ENSG00000163946" "TASOR" "3" 56620132 56683265
"6457" "ENSG00000157014" "TATDN2" "3" 10248023 10281218
"6461" "ENSG00000036054" "TBC1D23" "3" 100260992 100325251
"6462" "ENSG00000131374" "TBC1D5" "3" 17157162 18444817
"6466" "ENSG00000113838" "TBCCD1" "3" 186546067 186570543
"6470" "ENSG00000177565" "TBL1XR1" "3" 177019340 177228000
"6471" "ENSG00000231310" "TBL1XR1-AS1" "3" 177037405 177048141
"6473" "ENSG00000179152" "TCAIM" "3" 44338119 44409451
"6474" "ENSG00000145022" "TCTA" "3" 49412212 49416476
"6479" "ENSG00000270141" "TERC" "3" 169764610 169765060
"6482" "ENSG00000164081" "TEX264" "3" 51662693 51704323
"6486" "ENSG00000163424" "TEX55" "3" 119146151 119160042
"6487" "ENSG00000091513" "TF" "3" 133746040 133796641
"6489" "ENSG00000114126" "TFDP2" "3" 141944428 142149544
"6490" "ENSG00000114354" "TFG" "3" 100709295 100748964
"6492" "ENSG00000072274" "TFRC" "3" 196012511 196082153
"6493" "ENSG00000163513" "TGFBR2" "3" 30606478 30694249
"6501" "ENSG00000163634" "THOC7" "3" 63833870 63863868
"6502" "ENSG00000240549" "THOC7-AS1" "3" 63860645 63861819
"6504" "ENSG00000090534" "THPO" "3" 184371935 184381968
"6505" "ENSG00000151090" "THRB" "3" 24117153 24495756
"6506" "ENSG00000228791" "THRB-AS1" "3" 24493985 24681711
"6507" "ENSG00000224822" "THRB-IT1" "3" 24455136 24459434
"6509" "ENSG00000134077" "THUMPD3" "3" 9362971 9386791
"6510" "ENSG00000206573" "THUMPD3-AS1" "3" 9349689 9398625
"6515" "ENSG00000181847" "TIGIT" "3" 114276913 114310288
"6516" "ENSG00000113845" "TIMMDC1" "3" 119498547 119525090
"6517" "ENSG00000272662" "TIMMDC1-DT" "3" 119497678 119498181
"6518" "ENSG00000157150" "TIMP4" "3" 12153068 12158912
"6519" "ENSG00000163659" "TIPARP" "3" 156673235 156706770
"6520" "ENSG00000243926" "TIPARP-AS1" "3" 156634399 156817062
"6521" "ENSG00000163931" "TKT" "3" 53224712 53256052
"6527" "ENSG00000239732" "TLR9" "3" 52221080 52225645
"6528" "ENSG00000169908" "TM4SF1" "3" 149369022 149377692
"6529" "ENSG00000240541" "TM4SF1-AS1" "3" 149354658 149386604
"6530" "ENSG00000163762" "TM4SF18" "3" 149318498 149334414
"6531" "ENSG00000244468" "TM4SF18-AS1" "3" 149284779 149333653
"6532" "ENSG00000145107" "TM4SF19" "3" 196319342 196338503
"6533" "ENSG00000235897" "TM4SF19-AS1" "3" 196318288 196325570
"6535" "ENSG00000169903" "TM4SF4" "3" 149474697 149503394
"6536" "ENSG00000232112" "TMA7" "3" 48440257 48444208
"6538" "ENSG00000172765" "TMCC1" "3" 129647792 129893711
"6539" "ENSG00000271270" "TMCC1-DT" "3" 129893788 129918579
"6541" "ENSG00000144868" "TMEM108" "3" 133038391 133397775
"6542" "ENSG00000251011" "TMEM108-AS1" "3" 133245603 133257207
"6543" "ENSG00000126062" "TMEM115" "3" 50354750 50359521
"6551" "ENSG00000249992" "TMEM158" "3" 45224466 45226287
"6562" "ENSG00000198398" "TMEM207" "3" 190428655 190449901
"6563" "ENSG00000186329" "TMEM212" "3" 171843349 171938715
"6564" "ENSG00000234717" "TMEM212-AS1" "3" 171815586 171900749
"6565" "ENSG00000235943" "TMEM212-IT1" "3" 171894436 171895240
"6570" "ENSG00000176142" "TMEM39A" "3" 119428949 119468830
"6571" "ENSG00000088726" "TMEM40" "3" 12733528 12769457
"6572" "ENSG00000163900" "TMEM41A" "3" 185476496 185499057
"6575" "ENSG00000170876" "TMEM43" "3" 14125015 14143680
"6576" "ENSG00000145014" "TMEM44" "3" 194587673 194633689
"6577" "ENSG00000231770" "TMEM44-AS1" "3" 194583969 194590263
"6578" "ENSG00000229334" "TMEM44-AS2" "3" 194632903 194645407
"6579" "ENSG00000181458" "TMEM45A" "3" 100492619 100577444
"6581" "ENSG00000183396" "TMEM89" "3" 48620759 48621769
"6582" "ENSG00000144747" "TMF1" "3" 69019827 69052339
"6583" "ENSG00000181585" "TMIE" "3" 46694528 46710886
"6584" "ENSG00000188167" "TMPPE" "3" 33090421 33097146
"6591" "ENSG00000176040" "TMPRSS7" "3" 112034736 112081269
"6593" "ENSG00000121858" "TNFSF10" "3" 172505508 172523475
"6594" "ENSG00000154310" "TNIK" "3" 171058414 171460408
"6597" "ENSG00000061938" "TNK2" "3" 195863364 195911945
"6598" "ENSG00000224614" "TNK2-AS1" "3" 195908076 195913986
"6599" "ENSG00000114854" "TNNC1" "3" 52451100 52454041
"6603" "ENSG00000154174" "TOMM70" "3" 100363431 100401089
"6604" "ENSG00000077097" "TOP2B" "3" 25597978 25664909
"6605" "ENSG00000173769" "TOPAZ1" "3" 44241886 44332098
"6606" "ENSG00000163781" "TOPBP1" "3" 133598175 133662380
"6607" "ENSG00000073282" "TP63" "3" 189631389 189897276
"6608" "ENSG00000163870" "TPRA1" "3" 127571232 127598267
"6609" "ENSG00000188001" "TPRG1" "3" 188947214 189325304
"6610" "ENSG00000234076" "TPRG1-AS1" "3" 188941196 188947829
"6611" "ENSG00000230115" "TPRG1-AS2" "3" 189238686 189240594
"6612" "ENSG00000136527" "TRA2B" "3" 185914558 185938103
"6614" "ENSG00000183763" "TRAIP" "3" 49828601 49856574
"6615" "ENSG00000182606" "TRAK1" "3" 42013624 42225890
"6618" "ENSG00000168016" "TRANK1" "3" 36826817 36945057
"6619" "ENSG00000163519" "TRAT1" "3" 108822770 108855005
"6620" "ENSG00000213689" "TREX1" "3" 48465811 48467645
"6621" "ENSG00000170893" "TRH" "3" 129974688 129977935
"6623" "ENSG00000155890" "TRIM42" "3" 140678064 140701150
"6624" "ENSG00000213186" "TRIM59" "3" 160432445 160485773
"6629" "ENSG00000174173" "TRMT10C" "3" 101561868 101566446
"6631" "ENSG00000072756" "TRNT1" "3" 3126933 3153435
"6632" "ENSG00000144935" "TRPC1" "3" 142724034 142807888
"6635" "ENSG00000196428" "TSC22D2" "3" 150408298 150466422
"6636" "ENSG00000154743" "TSEN2" "3" 12484421 12541549
"6640" "ENSG00000163728" "TTC14" "3" 180602163 180617828
"6641" "ENSG00000239774" "TTC14-DT" "3" 180491772 180602142
"6642" "ENSG00000168026" "TTC21A" "3" 39107680 39138903
"6647" "ENSG00000214021" "TTLL3" "3" 9808086 9855138
"6656" "ENSG00000114383" "TUSC2" "3" 50320027 50328251
"6657" "ENSG00000243197" "TUSC7" "3" 116709235 116723581
"6658" "ENSG00000247596" "TWF2" "3" 52228612 52246788
"6659" "ENSG00000243224" "TWF2-DT" "3" 52239203 52245361
"6663" "ENSG00000197763" "TXNRD3" "3" 126571779 126655124
"6665" "ENSG00000163714" "U2SURP" "3" 142964497 143060725
"6666" "ENSG00000144744" "UBA3" "3" 69054730 69080408
"6667" "ENSG00000081307" "UBA5" "3" 132654446 132679794
"6670" "ENSG00000182179" "UBA7" "3" 49805209 49813953
"6673" "ENSG00000170142" "UBE2E1" "3" 23805955 23891640
"6674" "ENSG00000223791" "UBE2E1-AS1" "3" 23803695 23806905
"6675" "ENSG00000182247" "UBE2E2" "3" 23203020 23591794
"6676" "ENSG00000233153" "UBE2E2-DT" "3" 23194833 23203625
"6681" "ENSG00000153560" "UBP1" "3" 33388336 33441371
"6684" "ENSG00000163960" "UBXN7" "3" 196347659 196432430
"6685" "ENSG00000225822" "UBXN7-AS1" "3" 196431385 196433034
"6688" "ENSG00000145040" "UCN2" "3" 48561718 48563781
"6717" "ENSG00000168038" "ULK4" "3" 41246599 41962130
"6719" "ENSG00000114491" "UMPS" "3" 124730433 124749273
"6723" "ENSG00000114638" "UPK1B" "3" 119173517 119205143
"6725" "ENSG00000168273" "UQCC5" "3" 52534013 52579237
"6726" "ENSG00000010256" "UQCRC1" "3" 48599002 48610976
"6727" "ENSG00000159650" "UROC1" "3" 126481166 126517773
"6728" "ENSG00000176542" "USF3" "3" 113648385 113696646
"6730" "ENSG00000058056" "USP13" "3" 179653032 179804366
"6751" "ENSG00000172046" "USP19" "3" 49108046 49120938
